x,y,z,arc_length
-0.3992202,-0.024964727,-4.6274667,580
-0.45798376,0.043021727,-4.7485485,581
-0.63,0.24203572,-5.1029863,582
-0.61581105,0.25845158,-5.132222,583
-0.63,0.2948431,-5.131232,584
-0.5406822,0.523924,-5.124997,585
-0.53356075,0.5073972,-5.049669,586
-0.63,0.5588335,-4.9647145,587
-0.53630704,0.608805,-4.8821797,588
-0.5945533,0.63,-4.8582134,589
-0.63,0.61710143,-4.8436284,590
-0.13909228,0.43846703,-4.6416373,591
-0.03023561,0.39885563,-4.5968466,592
-0.0057815746,0.38995713,-4.586785,593
0.25504464,0.29504615,-4.4794636,594
0.27949867,0.28614768,-4.469402,595
0.30965433,0.27517447,-4.4569936,596
0.29930472,0.26536143,-4.453853,597
0.29204386,0.25847703,-4.4516497,598
-0.2736442,-0.27788278,-4.2799764,599
-0.28090504,-0.2847672,-4.277773,600
-0.3244663,-0.32606998,-4.264553,601
-0.6210199,-0.60724866,-4.174556,602
-0.56293935,-0.63,-4.1130867,603
-0.36455357,-0.55228835,-3.9031267,604
-0.26754162,-0.37419444,-3.6610801,605
-0.23859286,-0.32105052,-3.5888524,606
-0.23376057,-0.31217945,-3.5767958,607
0.054367214,0.21676347,-2.8579118,608
0.18483791,-0.34341657,-2.6340728,609
0.18718612,-0.35349873,-2.6300442,610
0.20119938,-0.4136651,-2.6060026,611
0.2515856,-0.63,-2.5195587,612
0.29281533,-0.45297888,-2.448824,613
0.29842407,-0.46584225,-2.4511013,614
0.34363523,-0.63,-2.4705946,615
0.49279267,-0.08842253,-2.5349054,616
0.63,-0.030191384,-2.6049051,617
0.52630293,0.013817926,-2.657809,618
0.45860094,0.035849568,-2.7224145,619
0.39603066,0.056211233,-2.782123,620
0.38540855,0.0596679,-2.7922592,621
-0.2764809,0.27506056,-3.4238763,622
-0.28710303,0.27851722,-3.4340127,623
-0.3496733,0.29887888,-3.4937212,624
-0.5026898,0.34867367,-3.6397393,625
-0.63,0.42390314,-3.8458579,626
-0.28122395,0.63,-4.4105353,627
-0.17825459,0.5691539,-4.577245,628
-0.099911824,0.51521766,-4.728873,629
-0.26327035,0.37721178,-4.8062587,630
-0.32792553,0.32259086,-4.836887,631
-0.4205995,0.24429953,-4.8807883,632
-0.63,0.2737132,-4.909939,633
-0.33509463,0.31513742,-4.9509926,634
-0.22521642,0.33057156,-4.9662886,635
-0.2015213,0.33389995,-4.9695873,636
0.009870008,0.36359325,-4.999015,637
0.047008343,0.38715658,-5.219136,638
0.060095306,0.39545992,-5.2967033,639
0.13154194,0.440791,-5.7201724,640
0.17128351,0.46600604,-5.9557233,641
0.14589591,0.43625036,-5.986332,642
0.1033734,0.3864116,-6.0375996,643
0.09616155,0.37795892,-6.0462947,644
-0.35810578,-0.15446764,-6.5939865,645
-0.3653176,-0.16292033,-6.6026816,646
-0.40784013,-0.21275908,-6.6539493,647
-0.63,-0.4731428,-6.9217987,648
-0.49616915,-0.63,-7.0831532,649
-0.2739405,-0.36953565,-7.351085,650
-0.23489168,-0.3237683,-7.3981647,651
-0.2283804,-0.3161367,-7.4060154,652
0.27623817,0.27530435,-8.014414,653
0.28274944,0.28293595,-8.0222645,654
0.32179826,0.3287033,-8.069344,655
0.5788652,0.63,-8.379279,656
0.63,0.5700671,-8.44093,657
0.59088683,0.52422434,-8.488088,658
0.49262422,0.63,-8.379227,659
0.32291412,0.4473141,-8.191213,660
0.2391491,0.39294747,-8.145664,661
0.18229383,0.3560463,-8.114749,662
0.17257614,0.34973916,-8.109466,663
-0.38970363,-0.015201367,-7.803722,664
-0.3994213,-0.021508506,-7.7984376,665
-0.45627657,-0.058409687,-7.7675223,666
-0.48736832,-0.07858939,-7.750616,667
-0.49931967,-0.13377039,-7.76377,668
-0.43870506,-0.13833974,-7.7509875,669
-0.37346652,-0.14325766,-7.73723,670
-0.36240536,-0.1440915,-7.734897,671
